STATION CODE,LOCATIONS,TEMPERATURE,pH,CONDUCTIVITY,BOD,NITRATE,YEAR
2064,BRAHMAPUTRA RIVER AT CHANDRAPUR GUWAHATI,32.00,7.90,174,2.20,3.00,2019
1541,GROUND WATER AT NOONMATI GUWAHATI,27.00,7.30,390,1.60,0.70,2020
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI ASSAM,30.00,7.40,401,2.10,0.80,2020
3813,GROUND WATER FROM BONDA GUWAHATI,30.00,7.20,368,1.80,0.80,2020
3815,GROUND WATER FROM KHANAPARA GUWAHATI,29.00,7.10,408,1.80,0.70,2020
3816,GROUND WATER FROM BASISTHA GUWAHATI,28.00,7.20,393,1.70,0.80,2020
3817,GROUND WATER FROM KAHILIPARA GUWAHATI,29.00,7.30,392,1.80,0.80,2020
3818,GROUND WATER FROM MALIGAON GUWAHATI,29.00,7.40,400,1.50,0.80,2020
2218,DEEPAR BEEL AT BORAGAON NEAR IASST GUWAHATI ASSAM,32.00,8.00,244,3.90,2.00,2020
3814,SILSAKO BEEL CHACHAL GUWAHATI,34.00,7.80,530,16.3,2.20,2020
3819,SORU SOLA BEEL PALTAN BAZAR GUWAHATI,33.00,7.50,526,28.5,7.00,2020
3820,BORSOLA BEEL SARABBHATTI GUWAHATI,34.00,7.50,529,34.8,4.10,2020
2216,DIGHALI PUKHURI GUWAHATI ASSAM,34.00,8.00,227,2.80,1.50,2020
2217,SUBHAGYA KUNDA POND KAMAKHYA TEMPLE GUWAHATI ASSAM,32.00,7.60,395,2.60,2.10,2020
2064,BRAHMAPUTRA RIVER AT CHANDRAPUR GUWAHATI ASSAM,33.00,7.80,188,2.80,1.40,2020
1541,GROUND WATER AT NOONMATI GUWAHATI ASSAM,29.00,7.60,408,2.50,1.00,2021
3816,GROUND WATER FROM BASISTHA GUWAHATI,28.00,7.70,351,2.10,1.00,2021
3813,GROUND WATER FROM BONDA GUWAHATI,29.00,8.00,370,2.30,0.80,2021
3817,GROUND WATER FROM KAHILIPARA GUWAHATI,24.00,7.20,318,2.20,0.70,2021
3818,GROUND WATER FROM MALIGAON GUWAHATI,26.00,7.60,223,2.20,0.90,2021
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK- GUWAHATI ASSAM,29.00,8.00,392,2.80,1.40,2021
2069,RIVER BRAHMPUTRA NEAR WATER INTAKE POINT AT KACHARIGHAT PANBAZAR GUWAHATI,30.00,7.50,188,2.80,1.60,2021
2064,RIVER BRAHMAPUTRA AT CHANDRAPUR GUWAHATI,30.00,7.80,183,2.60,1.40,2021
1528,RIVER BHARALU AT GUWAHATI ASSAM,31.00,7.80,562,37.3,3.00,2021
3820,BORSOLA BEEL SARABBHATTI GUWAHATI,32.00,7.80,470,29.2,2.80,2021
2218,DEEPAR BEEL AT BORAGAON NEAR IASST GUWAHATI ASSAM,31.00,7.80,288,5.00,2.00,2021
3814,SILSAKO BEEL CHACHAL GUWAHATI,33.00,7.60,532,19.0,2.60,2021
3819,SORU SOLA BEEL PALTAN BAZAR GUWAHATI,32.00,8.00,486,29.4,2.80,2021
2216,DIGHALI PUKHURI GUWAHATI ASSAM,35.00,7.70,321,3.00,1.80,2021
2217,SUBHAGYA KUNDA POND KAMAKHYA TEMPLE GUWAHATI ASSAM,30.00,7.80,247,2.70,1.10,2021
1541,GROUND WATER FROM NOONMATI GUWAHATI ASSAM,25.00,6.80,346,2.50,0.90,2022
1542,GROUND WATER FROM SIJUBARI MAZAR NATBOMA HATIGAON GUWAHATI,30.00,7.40,363,2.40,0.90,2022
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI ASSAM,27.00,7.60,398,2.80,1.10,2022
3813,GROUND WATER FROM GUWAHATI,25.00,6.90,328,2.60,0.90,2022
3815,GROUND WATER FROM KHANAPARA GUWAHATI,24.00,7.00,346,2.50,1.00,2022
3816,GROUND WATER FROM BASISTHA GUWAHATI,24.00,7.20,370,2.40,1.20,2022
3817,GROUND WATER FROM KAHILIPARA GUWAHATI,27.00,7.40,352,2.40,2.40,2022
3818,GROUND WATER FROM MALIGAON GUWAHATI,27.00,7.40,367,2.70,1.80,2022
3820,BORSOLA BEEL SARABBHATTI GUWAHATI,33.00,7.70,585,29.4,5.80,2022
2218,DEEPOR BEEL AT BORAGAON NEAR IASST GUWAHATI ASSAM,32.00,8.10,478,5.90,4.00,2022
1529,DEEPOR BEEL NEAR DHARAPUR CHARIALI GUWAHATI ASSAM,32.00,8.00,477,5.80,3.80,2022
3814,SILSAKO BEEL CHACHAL GUWAHATI,35.00,7.80,594,19.7,2.00,2022
3819,SORU SOLA BEEL PALTAN BAZAR GUWAHATI,35.00,7.80,602,29.6,5.70,2022
2216,DIGHALI PUKHURI GUWAHATI ASSAM,32.00,8.10,250,2.80,4.00,2022
2217,SUBHAGYA KUNDA POND KAMAKHYA TEMPLE GUWAHATI ASSAM,30.00,7.80,571,2.80,1.50,2022
